Country,Case def,Total cases,Date,,,,,
United Kingdom,All,1,2015-07-22,,,,,
USA,All,3,2015-07-22,,,,,
Guinea,All,195,2015-07-29,,,,,
Liberia,All,378,2015-07-29,,,,,
Mali,All,2,2015-07-29,,,,,
Nigeria,All,11,2015-07-29,,,,,
Sierra Leone,All,307,2015-07-29,,,,,
Spain,All,1,2015-07-29,,,,,
United Kingdom,All,1,2015-07-29,,,,,
USA,All,3,2015-07-29,,,,,
Guinea,All,195,2015-08-05,,,,,
Liberia,All,378,2015-08-05,,,,,
Mali,All,2,2015-08-05,,,,,
Nigeria,All,11,2015-08-05,,,,,
Sierra Leone,All,307,2015-08-05,,,,,
Spain,All,1,2015-08-05,,,,,
United Kingdom,All,1,2015-08-05,,,,,
USA,All,3,2015-08-05,,,,,
Guinea,All,195,2015-08-12,,,,,
Liberia,All,378,2015-08-12,,,,,
Mali,All,2,2015-08-12,,,,,
Nigeria,All,11,2015-08-12,,,,,
Sierra Leone,All,307,2015-08-12,,,,,
Spain,All,1,2015-08-12,,,,,
United Kingdom,All,1,2015-08-12,,,,,
USA,All,3,2015-08-12,,,,,
Guinea,All,195,2015-08-19,,,,,
Liberia,All,378,2015-08-19,,,,,
Mali,All,2,2015-08-19,,,,,
Nigeria,All,11,2015-08-19,,,,,
Sierra Leone,All,307,2015-08-19,,,,,
Spain,All,1,2015-08-19,,,,,
United Kingdom,All,1,2015-08-19,,,,,
USA,All,3,2015-08-19,,,,,
Guinea,All,196,2015-08-26,,,,,
Liberia,All,378,2015-08-26,,,,,
Mali,All,2,2015-08-26,,,,,
Nigeria,All,11,2015-08-26,,,,,
Sierra Leone,All,307,2015-08-26,,,,,
Spain,All,1,2015-08-26,,,,,
United Kingdom,All,1,2015-08-26,,,,,
USA,All,3,2015-08-26,,,,,
Guinea,All,196,2015-09-02,,,,,
Liberia,All,378,2015-09-02,,,,,
Mali,All,2,2015-09-02,,,,,
Nigeria,All,11,2015-09-02,,,,,
Sierra Leone,All,307,2015-09-02,,,,,
Spain,All,1,2015-09-02,,,,,
United Kingdom,All,1,2015-09-02,,,,,
USA,All,3,2015-09-02,,,,,
Guinea,All,196,2015-09-09,,,,,
